Price,Close,High,Low,Open,Volume
Ticker,AAP,AAP,AAP,AAP,AAP
Date,,,,,
2019-10-18,144.95553588867188,146.0548977282223,142.49084957171266,144.9732712405657,642900
2019-10-21,147.19857788085938,147.482289399156,145.3899643001027,145.868710577091,663300
2019-10-22,147.1542205810547,148.28017848959314,145.51405930954397,147.52658173774535,575300
2019-10-23,146.39175415039062,147.77481365757382,144.7427185391861,146.50701361869142,701000
2019-10-24,147.8900604248047,151.20586671020942,147.43791055647443,149.3351867609956,1070100
2019-10-25,146.78184509277344,150.4434164015483,146.58679685905963,147.61523054080408,643100
2019-10-28,147.5354461669922,148.91850566318612,146.48927710698234,147.13648877818338,978800
2019-10-29,145.7090606689453,147.9875584838133,145.38989213334128,147.4112883494658,657500
2019-10-30,145.37220764160156,146.77300261963558,144.33491292006724,145.38994299092315,721600
2019-10-31,144.05117797851562,145.54949684159197,142.7922389439103,145.25692450192864,826600
2019-11-01,146.1257781982422,147.46450597752465,144.03345378123387,144.5210608111802,677800
2019-11-04,147.7127685546875,148.38656299847742,145.921877116692,147.03009967246268,708700
2019-11-05,149.0692138671875,151.48956784864518,147.62408750009715,148.65252115432227,1222500
2019-11-06,150.4522705078125,150.67391498809158,147.55315691789272,149.06921111536798,866300
2019-11-07,150.07994079589844,151.92402488091219,149.680983353569,151.11723555719837,669100
2019-11-08,148.41314697265625,151.33885698333643,146.99463033555205,151.03742371986374,1243000
2019-11-11,149.67208862304688,151.98604397132317,147.12760083305847,147.81026960872416,1805500
2019-11-12,138.43031311035156,142.21600563456005,136.80787345711937,140.03501741254536,4357300
2019-11-13,140.59352111816406,140.85949718643124,136.3202092648245,137.69440767745093,1370900
2019-11-14,139.0420379638672,140.05273640526002,137.43733384910473,140.03500105629314,882000
2019-11-15,144.2108154296875,144.2374116938391,139.58287607377,139.8931703315753,1084500
2019-11-18,145.10621643066406,145.4519813019005,142.69472324169485,144.37922952134153,862900
2019-11-19,143.60789489746094,145.06188221807236,142.93410051457968,144.7072564435256,714500
2019-11-20,143.3951416015625,143.59018985878896,141.60425011616843,143.43945968248036,724000
2019-11-21,140.37191772460938,144.6718135620863,140.25665823807552,143.75863916537162,635900
2019-11-22,139.9640350341797,141.05453548459818,139.0331391528474,140.3452705284514,971600
2019-11-25,141.09889221191406,142.29577799884834,139.71583260894585,140.398501499988,647500
2019-11-26,139.2725372314453,141.39145814772047,139.11295968211994,141.39145814772047,1004400
2019-11-27,140.7708740234375,142.3933136203803,139.4853384439903,139.73357923747906,809700
2019-11-29,139.263671875,140.97476089707828,138.90903256319945,140.48715382652557,487100
2019-12-02,138.79380798339844,141.4712777050848,138.740615460469,139.6271935842491,893600
2019-12-03,135.30072021484375,137.6412864775894,134.6535218183116,137.6412864775894,1047200
2019-12-04,135.0524444580078,136.47096131019302,134.7598720597682,135.3095461562805,2822700
2019-12-05,135.0170135498047,136.07204397096814,134.60033416320348,135.54896598121707,1603000
2019-12-06,137.08267211914062,137.8185334078344,134.69777537667534,135.90352187543414,1803900
2019-12-09,134.37864685058594,136.92312162579972,133.43000180604778,136.74580871440332,1900000
2019-12-10,138.4569091796875,139.49420400018698,135.14997644136596,135.80603561967163,1510600
