Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2019-10-18,61.851234436035156,62.51667876109587,61.63223219092888,62.24702445615143,27056000
2019-10-21,61.884010314941406,62.30507902592307,61.608396262066,62.187433937520645,20544000
2019-10-22,61.717647552490234,62.104996202513206,61.64713097247706,61.968433790628666,20476000
2019-10-23,62.52859878540039,62.56633871901766,61.69579692529151,61.69579692529151,18230000
2019-10-24,62.620967864990234,62.77044619692498,62.259689727924915,62.6164971167155,20562000
2019-10-25,62.826560974121094,63.04854120105886,62.075698809640514,62.12635087152809,24262000
2019-10-28,64.06160736083984,64.52394333613366,63.19453986306935,63.33905111269777,52264000
2019-10-29,62.701908111572266,63.64395907969939,62.433344987636644,63.377782880430544,37728000
2019-10-30,62.6358642578125,63.036621368689126,62.174520931289194,62.222691348757266,28178000
2019-10-31,62.577274322509766,62.95270355125728,62.11707136287896,62.635375111921846,29114000
2019-11-01,63.25413131713867,63.297830984114825,62.59663205345095,62.820101253866014,33402000
2019-11-04,64.129638671875,64.26670120084444,63.38399365995271,63.38871067810195,30020000
2019-11-05,64.16241455078125,64.50507084887559,64.12263247282912,64.2051215586552,25654000
2019-11-06,64.1510009765625,64.24684928299422,63.68916505432356,64.03479939705974,23060000
2019-11-07,64.99820709228516,65.7371460746189,64.27242271964337,64.27415797633661,40600000
2019-11-08,65.12284088134766,65.45209253183815,64.77497121734183,64.82041371919429,25028000
2019-11-11,64.51799011230469,64.8772791475001,64.42959053654617,64.71612761504201,20238000
2019-11-12,64.49862670898438,65.0548181492645,64.34815191850642,64.55821648400294,21718000
2019-11-13,64.45889282226562,64.77174669514169,64.2359161452668,64.26372571519087,16534000
2019-11-14,65.12731170654297,65.40242941818406,64.34218772663395,64.43405781052788,23870000
2019-11-15,66.28985595703125,66.29035607459745,65.26735043784288,65.49876847529693,35652000
2019-11-18,65.58617401123047,66.32258195695339,65.4272578691305,66.15825545220515,29748000
2019-11-19,65.32596588134766,65.93380584039859,65.1938666242651,65.93380584039859,25384000
2019-11-20,64.70967102050781,65.30311359879565,64.11872145269366,65.14121946879514,26172000
2019-11-21,64.62525177001953,65.18343607560185,64.21059364355068,64.63170783382844,19910000
2019-11-22,64.3268051147461,64.99175705678431,64.13164555020478,64.83731161921952,27714000
2019-11-25,64.89044189453125,65.1198670598301,64.46534950267933,64.51749055240094,20724000
2019-11-26,65.2311019897461,65.2931771906439,64.81098048542756,65.0478543599473,21394000
2019-11-27,65.20329284667969,65.46996918450434,65.03643543302076,65.3031117708454,19912000
2019-11-29,64.80452728271484,65.06499004817489,64.75536420639608,64.91179493197015,11740000
2019-12-02,64.0576400756836,64.84772739422539,63.614672267390304,64.60787553415649,30218000
2019-12-03,64.32380676269531,64.48177570670812,63.515340241896794,63.54364613676703,22876000
2019-12-04,65.57823944091797,65.83945241261112,64.8000639324465,64.90633893615956,30750000
2019-12-05,65.95514678955078,66.01613082090294,65.37461639567003,65.94869072658955,24254000
2019-12-06,66.57540893554688,66.74325902095445,66.21884779750104,66.21884779750104,26296000
2019-12-09,66.7214126586914,67.51051492322146,66.43735342335297,66.44728757806071,27086000
2019-12-10,66.77603149414062,67.03997233101526,66.34796116350438,66.6191006623861,21882000
2019-12-11,66.79390716552734,67.1008050719177,66.67720548763499,67.08292965745449,17008000
2019-12-12,67.05462646484375,67.32800894278013,66.56945175179673,66.83959862027363,25620000
2019-12-13,66.93345642089844,67.19481332306121,66.73679654783501,66.9394123666553,30992000
2019-12-16,67.59593200683594,67.77023816325757,67.17381755438957,67.36401381253778,27946000
2019-12-17,67.29547119140625,67.78611683437089,67.10691171373009,67.68133462663474,37080000
2019-12-18,67.17133331298828,67.56116745124716,67.09089014516655,67.36898587416592,30452000
2019-12-19,67.3411636352539,67.44346041005927,66.99080854785383,67.13159922014151,29398000
2019-12-20,67.02086639404297,67.7185911528702,66.99156404557336,67.70419382623656,66300000
2019-12-23,66.9836196899414,67.52789165434014,66.86791065439253,67.33273211206371,17662000
2019-12-24,66.7214126586914,67.05413485477206,66.6826762751171,66.96673551045554,6950000
2019-12-26,67.55768585205078,67.60372698452096,66.7666058409216,66.85102721301676,13350000
2019-12-27,67.13507080078125,67.76277897604893,67.00694977145382,67.68629887497241,20768000
2019-12-30,66.35292053222656,67.19019307204604,66.24763821220691,67.04121108745511,21018000
2019-12-31,66.3966293334961,66.44529987002558,66.00257454427881,66.05348045497554,19236000
2020-01-02,67.90381622314453,67.9420524872171,66.62159046238858,66.62159046238858,28132000
2020-01-03,67.57058715820312,68.15856627305749,66.81992586515675,66.93493774743344,23728000
2020-01-06,69.2366943359375,69.35041046473987,67.04121605389896,67.04121605389896,34646000
2020-01-07,69.19349670410156,69.67271549564418,69.04650000353651,69.42193680575292,30054000
2020-01-08,69.73875427246094,70.09928597759722,69.06933178718687,69.13090686518215,30560000
2020-01-09,70.50898742675781,70.88143863523739,70.03423186106627,70.54573849204765,30018000
2020-01-10,71.00062561035156,71.25880752665975,70.43549273531444,70.89285784756291,36414000
2020-01-13,71.47239685058594,71.5364573682517,70.81638653642962,71.31845156114929,33046000
2020-01-14,71.0577392578125,71.60002592316594,70.93309629884654,71.46147817790887,31178000
2020-01-15,71.47090148925781,71.5799043888649,71.02445561952192,71.02445561952192,25654000
2020-01-16,72.0916519165039,72.10605681797274,71.55631394755552,71.88010218520081,23474000
2020-01-17,73.51641082763672,73.5613532153852,72.41544735720358,72.64835061632296,47924000
2020-01-21,73.7155532836914,74.08551910391431,73.06003544050274,73.45334766192397,40734000
